platform_asset_id,country,type,class,tier,verified_propulsor_id,verified_kind,verification_status,confidence,game_plan_propulsor_id,verification_rationale
UK_SSN_AUKUS,UK,SSN,SSN-AUKUS,10,,UNKNOWN,UNKNOWN,UNKNOWN,PJ_T10_NEXTGEN,尚无公开资料研究结论，保持 UNKNOWN。
UK_SSBN_Resolution,UK,SSBN,Resolution,4,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T04_SKEWED,尚无公开资料研究结论，保持 UNKNOWN。
UK_SSBN_Vanguard,UK,SSBN,Vanguard,8,,UNKNOWN,UNKNOWN,UNKNOWN,US_PJ_Seawolf,尚无公开资料研究结论，保持 UNKNOWN。
UK_SSBN_Dreadnought,UK,SSBN,Dreadnought,10,,UNKNOWN,UNKNOWN,UNKNOWN,PJ_T10_NEXTGEN,尚无公开资料研究结论，保持 UNKNOWN。
FR_SSN_Rubis,France,SSN,Rubis,6,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T05_QUIET,尚无公开资料研究结论，保持 UNKNOWN。
FR_SSN_Suffren,France,SSN,Suffren,9,FR_PJ_Suffren,PUMPJET,CONFIRMED,CONFIRMED,FR_PJ_Suffren,公开条目明确整合泵喷推进技术。
FR_SSBN_LeRedoutable,France,SSBN,Le Redoutable,4,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T04_SKEWED,尚无公开资料研究结论，保持 UNKNOWN。
FR_SSBN_LeTriomphant,France,SSBN,Le Triomphant,8,,UNKNOWN,UNKNOWN,UNKNOWN,US_PJ_Seawolf,尚无公开资料研究结论，保持 UNKNOWN。
FR_SSBN_SNLE3G,France,SSBN,SNLE 3G,10,,UNKNOWN,UNKNOWN,UNKNOWN,PJ_T10_NEXTGEN,尚无公开资料研究结论，保持 UNKNOWN。
CN_SSN_Type091,China,SSN,Type 091,4,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T04_SKEWED,尚无公开资料研究结论，保持 UNKNOWN。
CN_SSN_Type093,China,SSN,Type 093,7,CN_PROP_Type093,PROPELLER,REPORTED,REPORTED,CN_PROP_Type093,公开资料有限，基础型按螺旋桨处理，置信度 REPORTED。
CN_SSN_Type093A,China,SSN,Type 093A,8,,UNKNOWN,UNKNOWN,UNKNOWN,US_PJ_Seawolf,尚无公开资料研究结论，保持 UNKNOWN。
CN_SSN_Type093B,China,SSN,Type 093B,9,CN_PJ_Type093B,UNKNOWN,REPORTED,UNKNOWN,CN_PROP_Type093,公开条目明确 093B 采用泵喷；本库尚无对应 3D 泵喷资产，记为缺口。
CN_SSN_Type095,China,SSN,Type 095,10,,UNKNOWN,UNKNOWN,UNKNOWN,PJ_T10_NEXTGEN,尚无公开资料研究结论，保持 UNKNOWN。
CN_SSBN_Type092,China,SSBN,Type 092,5,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T05_QUIET,尚无公开资料研究结论，保持 UNKNOWN。
CN_SSBN_Type094,China,SSBN,Type 094,8,,UNKNOWN,UNKNOWN,UNKNOWN,US_PJ_Seawolf,尚无公开资料研究结论，保持 UNKNOWN。
CN_SSBN_Type094A,China,SSBN,Type 094A,9,,UNKNOWN,UNKNOWN,UNKNOWN,CN_PROP_Type093,尚无公开资料研究结论，保持 UNKNOWN。
CN_SSBN_Type096,China,SSBN,Type 096,10,,UNKNOWN,UNKNOWN,UNKNOWN,PJ_T10_NEXTGEN,尚无公开资料研究结论，保持 UNKNOWN。
IN_SSBN_Arihant,India,SSBN,Arihant,7,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T05_QUIET,尚无公开资料研究结论，保持 UNKNOWN。
IN_SSBN_Arighaat,India,SSBN,Arighaat,8,,UNKNOWN,UNKNOWN,UNKNOWN,US_PJ_Seawolf,尚无公开资料研究结论，保持 UNKNOWN。
IN_SSBN_S4,India,SSBN,S4,9,,UNKNOWN,UNKNOWN,UNKNOWN,FR_PJ_Suffren,尚无公开资料研究结论，保持 UNKNOWN。
IN_SSBN_S5,India,SSBN,S5,10,,UNKNOWN,UNKNOWN,UNKNOWN,PJ_T10_NEXTGEN,尚无公开资料研究结论，保持 UNKNOWN。
